Mod:Item:MetaData, Localized Name
minecraft:repeating_command_block, Bloco de comando em repetição
minecraft:chain_command_block, Bloco de comando em cadeia
minecraft:magma, Bloco de magma
minecraft:nether_wart_block, Bloco de fungos do Nether
minecraft:red_nether_brick, Tijolos vermelhos do Nether
minecraft:bone_block, Bloco de ossos
minecraft:structure_void, Vazio da estrutura
minecraft:observer, Observador
minecraft:white_shulker_box, Caixa de shulker branca
minecraft:orange_shulker_box, Caixa de shulker laranja
minecraft:magenta_shulker_box, Caixa de shulker magenta
minecraft:light_blue_shulker_box, Caixa de shulker azul-clara
minecraft:yellow_shulker_box, Caixa de shulker amarela
minecraft:lime_shulker_box, Caixa de shulker verde-limão
minecraft:pink_shulker_box, Caixa de shulker rosa
minecraft:gray_shulker_box, Caixa de shulker cinza
minecraft:silver_shulker_box, Caixa de shulker cinza-clara
minecraft:cyan_shulker_box, Caixa de shulker ciano
minecraft:purple_shulker_box, Caixa de shulker roxa
minecraft:blue_shulker_box, Caixa de shulker azul
minecraft:brown_shulker_box, Caixa de shulker marrom
minecraft:green_shulker_box, Caixa de shulker verde
minecraft:red_shulker_box, Caixa de shulker vermelha
minecraft:black_shulker_box, Caixa de shulker preta
minecraft:white_glazed_terracotta, Azulejo branco
minecraft:orange_glazed_terracotta, Azulejo laranja
minecraft:magenta_glazed_terracotta, Azulejo magenta
minecraft:light_blue_glazed_terracotta, Azulejo azul-claro
minecraft:yellow_glazed_terracotta, Azulejo amarelo
minecraft:lime_glazed_terracotta, Azulejo verde-limão
minecraft:pink_glazed_terracotta, Azulejo rosa
minecraft:gray_glazed_terracotta, Azulejo cinza
minecraft:silver_glazed_terracotta, Azulejo cinza-claro
minecraft:cyan_glazed_terracotta, Azulejo ciano
minecraft:purple_glazed_terracotta, Azulejo roxo
minecraft:blue_glazed_terracotta, Azulejo azul
minecraft:brown_glazed_terracotta, Azulejo marrom
minecraft:green_glazed_terracotta, Azulejo verde
minecraft:red_glazed_terracotta, Azulejo vermelho
minecraft:black_glazed_terracotta, Azulejo preto
minecraft:concrete:0, Concreto branco
minecraft:concrete:1, Concreto laranja
minecraft:concrete:2, Concreto magenta
minecraft:concrete:3, Concreto azul-claro
minecraft:concrete:4, Concreto amarelo
minecraft:concrete:5, Concreto verde-limão
minecraft:concrete:6, Concreto rosa
minecraft:concrete:7, Concreto cinza
minecraft:concrete:8, Concreto cinza-claro
minecraft:concrete:9, Concreto ciano
minecraft:concrete:10, Concreto roxo
minecraft:concrete:11, Concreto azul
minecraft:concrete:12, Concreto marrom
minecraft:concrete:13, Concreto verde
minecraft:concrete:14, Concreto vermelho
minecraft:concrete:15, Concreto preto
minecraft:concrete_powder:0, Cimento branco
minecraft:concrete_powder:1, Cimento laranja
minecraft:concrete_powder:2, Cimento magenta
minecraft:concrete_powder:3, Cimento azul-claro
minecraft:concrete_powder:4, Cimento amarelo
minecraft:concrete_powder:5, Cimento verde-limão
minecraft:concrete_powder:6, Cimento rosa
minecraft:concrete_powder:7, Cimento cinza
minecraft:concrete_powder:8, Cimento cinza-claro
minecraft:concrete_powder:9, Cimento ciano
minecraft:concrete_powder:10, Cimento roxo
minecraft:concrete_powder:11, Cimento azul
minecraft:concrete_powder:12, Cimento marrom
minecraft:concrete_powder:13, Cimento verde
minecraft:concrete_powder:14, Cimento vermelho
minecraft:concrete_powder:15, Cimento preto
minecraft:structure_block, Bloco de estrutura
minecraft:iron_shovel, Pá de ferro
minecraft:iron_pickaxe, Picareta de ferro
minecraft:iron_axe, Machado de ferro
minecraft:flint_and_steel, Pederneira
minecraft:apple, Maçã
minecraft:bow, Arco
minecraft:arrow, Flecha
minecraft:coal:0, Carvão
minecraft:coal:1, Carvão vegetal
minecraft:diamond, Diamante
minecraft:iron_ingot, Barra de ferro
minecraft:gold_ingot, Barra de ouro
minecraft:iron_sword, Espada de ferro
minecraft:wooden_sword, Espada de madeira
minecraft:wooden_shovel, Pá de madeira
minecraft:wooden_pickaxe, Picareta de madeira
minecraft:wooden_axe, Machado de madeira
minecraft:stone_sword, Espada de pedra
minecraft:stone_shovel, Pá de pedra
minecraft:stone_pickaxe, Picareta de pedra
minecraft:stone_axe, Machado de pedra
minecraft:diamond_sword, Espada de diamante
minecraft:diamond_shovel, Pá de diamante
minecraft:diamond_pickaxe, Picareta de diamante
minecraft:diamond_axe, Machado de diamante
minecraft:stick, Graveto
minecraft:bowl, Tigela
minecraft:mushroom_stew, Ensopado de cogumelos
minecraft:golden_sword, Espada de ouro
minecraft:golden_shovel, Pá de ouro
minecraft:golden_pickaxe, Picareta de ouro
minecraft:golden_axe, Machado de ouro
minecraft:string, Linha
minecraft:feather, Pena
minecraft:gunpowder, Pólvora
minecraft:wooden_hoe, Enxada de madeira
minecraft:stone_hoe, Enxada de pedra
minecraft:iron_hoe, Enxada de ferro
minecraft:diamond_hoe, Enxada de diamante
minecraft:golden_hoe, Enxada de ouro
minecraft:wheat_seeds, Sementes
minecraft:wheat, Trigo
minecraft:bread, Pão
minecraft:leather_helmet, Capuz de couro
minecraft:leather_chestplate, Túnica de couro
minecraft:leather_leggings, Calças de couro
minecraft:leather_boots, Botas de couro
minecraft:chainmail_helmet, Capacete de cota de malha
minecraft:chainmail_chestplate, Peitoral de cota de malha
minecraft:chainmail_leggings, Calças de cota de malha
minecraft:chainmail_boots, Botas de cota de malha
minecraft:iron_helmet, Capacete de ferro
minecraft:iron_chestplate, Peitoral de ferro
minecraft:iron_leggings, Calças de ferro
minecraft:iron_boots, Botas de ferro
minecraft:diamond_helmet, Capacete de diamante
minecraft:diamond_chestplate, Peitoral de diamante
minecraft:diamond_leggings, Calças de diamante
minecraft:diamond_boots, Botas de diamante
minecraft:golden_helmet, Capacete de ouro
minecraft:golden_chestplate, Peitoral de ouro
minecraft:golden_leggings, Calças de ouro
minecraft:golden_boots, Botas de ouro
minecraft:flint, Sílex
minecraft:porkchop, Costeleta de porco crua
minecraft:cooked_porkchop, Costeleta de porco assada
minecraft:painting, Quadro
minecraft:golden_apple:0, Maçã dourada
minecraft:golden_apple:1, Maçã dourada
minecraft:sign, Placa
minecraft:wooden_door, Porta de carvalho
minecraft:bucket, Balde
minecraft:water_bucket, Balde de água
minecraft:lava_bucket, Balde de lava
minecraft:minecart, Carrinho
minecraft:saddle, Sela
minecraft:iron_door, Porta de ferro
minecraft:redstone, Redstone
minecraft:snowball, Bola de neve
minecraft:boat, Bote de carvalho
minecraft:leather, Couro
minecraft:milk_bucket, Balde de leite
minecraft:brick, Tijolo
minecraft:clay_ball, Bola de argila
minecraft:reeds, Canas-de-açúcar
minecraft:paper, Papel
minecraft:book, Livro
minecraft:slime_ball, Bola de slime
minecraft:chest_minecart, Carrinho com baú
minecraft:furnace_minecart, Carrinho com fornalha
minecraft:egg, Ovo
minecraft:compass, Bússola
minecraft:fishing_rod, Vara de pesca
minecraft:clock, Relógio
minecraft:glowstone_dust, Pó de pedra luminosa
minecraft:fish:0, Bacalhau cru
minecraft:fish:1, Salmão cru
minecraft:fish:2, Peixe-palhaço
minecraft:fish:3, Baiacu
minecraft:cooked_fish:0, Bacalhau assado
minecraft:cooked_fish:1, Salmão assado
minecraft:dye:0, Bolsa de tinta
minecraft:dye:1, Vermelho da rosa
minecraft:dye:2, Verde do cacto
minecraft:dye:3, Sementes de cacau
minecraft:dye:4, Lápis-lazúli
minecraft:dye:5, Corante roxo
minecraft:dye:6, Corante ciano
minecraft:dye:7, Corante cinza-claro
minecraft:dye:8, Corante cinza
minecraft:dye:9, Corante rosa
minecraft:dye:10, Corante verde-limão
minecraft:dye:11, Amarelo do dente-de-leão
minecraft:dye:12, Corante azul-claro
minecraft:dye:13, Corante magenta
minecraft:dye:14, Corante laranja
minecraft:dye:15, Farinha de osso
minecraft:bone, Osso
minecraft:sugar, Açúcar
minecraft:cake, Bolo
minecraft:bed:0, Cama branca
minecraft:bed:1, Cama laranja
minecraft:bed:2, Cama magenta
minecraft:bed:3, Cama azul-clara
minecraft:bed:4, Cama amarela
minecraft:bed:5, Cama verde-limão
minecraft:bed:6, Cama rosa
minecraft:bed:7, Cama cinza
minecraft:bed:8, Cama cinza-clara
minecraft:bed:9, Cama ciano
minecraft:bed:10, Cama roxa
minecraft:bed:11, Cama azul
minecraft:bed:12, Cama marrom
minecraft:bed:13, Cama verde
minecraft:bed:14, Cama vermelha
minecraft:bed:15, Cama preta
minecraft:repeater, Repetidor de redstone
minecraft:cookie, Biscoito
minecraft:filled_map:0, Mapa
minecraft:shears, Tesoura
minecraft:melon, Melancia
minecraft:pumpkin_seeds, Sementes de abóbora
minecraft:melon_seeds, Sementes de melancia
minecraft:beef, Bife cru
minecraft:cooked_beef, Filé
minecraft:chicken, Frango cru
minecraft:cooked_chicken, Frango assado
minecraft:rotten_flesh, Carne podre
minecraft:ender_pearl, Pérola de ender
minecraft:blaze_rod, Vara de blaze
minecraft:ghast_tear, Lágrima de ghast
minecraft:gold_nugget, Pepita de ouro
minecraft:nether_wart, Fungo do Nether
minecraft:potion, Poção
minecraft:glass_bottle, Frasco de vidro
minecraft:spider_eye, Olho de aranha
minecraft:fermented_spider_eye, Olho de aranha fermentado
minecraft:blaze_powder, Pó de blaze
minecraft:magma_cream, Creme de magma
minecraft:brewing_stand, Suporte de poções
minecraft:cauldron, Caldeirão
minecraft:ender_eye, Olho de ender
minecraft:speckled_melon, Fatia de melancia reluzente
minecraft:spawn_egg, Gerar
minecraft:experience_bottle, Frasco de experiência
minecraft:fire_charge, Bola de fogo
minecraft:writable_book, Livro e pena
minecraft:written_book, Livro escrito
minecraft:emerald, Esmeralda
minecraft:item_frame, Moldura
minecraft:flower_pot, Vaso de flor
minecraft:carrot, Cenoura
minecraft:potato, Batata
minecraft:baked_potato, Batata assada
minecraft:poisonous_potato, Batata venenosa
minecraft:map, Mapa em branco
minecraft:golden_carrot, Cenoura dourada
minecraft:skull:0, Crânio de esqueleto
minecraft:skull:1, Crânio de esqueleto Wither
minecraft:skull:2, Cabeça de zumbi
minecraft:skull:3, Cabeça
minecraft:skull:4, Cabeça de creeper
minecraft:skull:5, Cabeça de dragão
minecraft:carrot_on_a_stick, Vara com cenoura
minecraft:nether_star, Estrela do Nether
minecraft:pumpkin_pie, Torta de abóbora
minecraft:fireworks, Fogos de artifício
minecraft:firework_charge, Estrela de fogos de artifício
minecraft:enchanted_book, Livro encantado
minecraft:comparator, Comparador de redstone
minecraft:netherbrick, Tijolo do Nether
minecraft:quartz, Quartzo do Nether
minecraft:tnt_minecart, Carrinho com dinamite
minecraft:hopper_minecart, Carrinho com funil
minecraft:prismarine_shard, Fragmento de prismarinho
minecraft:prismarine_crystals, Cristais de prismarinho
minecraft:rabbit, Coelho cru
minecraft:cooked_rabbit, Coelho assado
minecraft:rabbit_stew, Ensopado de coelho
minecraft:rabbit_foot, Pé de coelho
minecraft:rabbit_hide, Pele de coelho
minecraft:armor_stand, Suporte de armaduras
minecraft:iron_horse_armor, Armadura de ferro para cavalo
minecraft:golden_horse_armor, Armadura de ouro para cavalo
minecraft:diamond_horse_armor, Armadura de diamante para cavalo
minecraft:lead, Laço
minecraft:name_tag, Etiqueta
minecraft:command_block_minecart, Carrinho com bloco de comando
minecraft:mutton, Carneiro cru
minecraft:cooked_mutton, Carneiro assado
minecraft:banner:15, Estandarte branco
minecraft:banner:14, Estandarte laranja
minecraft:banner:13, Estandarte magenta
minecraft:banner:12, Estandarte azul-claro
minecraft:banner:11, Estandarte amarelo
minecraft:banner:10, Estandarte verde-limão
minecraft:banner:9, Estandarte rosa
minecraft:banner:8, Estandarte cinza
minecraft:banner:7, Estandarte cinza-claro
minecraft:banner:6, Estandarte ciano
minecraft:banner:5, Estandarte roxo
minecraft:banner:4, Estandarte azul
minecraft:banner:3, Estandarte marrom
minecraft:banner:2, Estandarte verde
minecraft:banner:1, Estandarte vermelho
minecraft:banner:0, Estandarte preto
minecraft:end_crystal, Cristal do End
minecraft:spruce_door, Porta de pinheiro
minecraft:birch_door, Porta de eucalipto
minecraft:jungle_door, Porta de madeira da selva
minecraft:acacia_door, Porta de acácia
minecraft:dark_oak_door, Porta de carvalho escuro
minecraft:chorus_fruit, Fruta do coro
minecraft:chorus_fruit_popped, Fruta do coro estourada
minecraft:beetroot, Beterraba
minecraft:beetroot_seeds, Sementes de beterraba
minecraft:beetroot_soup, Sopa de beterraba
minecraft:dragon_breath, Bafo de dragão
minecraft:splash_potion, Poção arremessável
minecraft:spectral_arrow, Flecha espectral
minecraft:tipped_arrow, Flecha com efeito
minecraft:lingering_potion, Poção prolongada
minecraft:shield, Escudo
minecraft:elytra, Élitros
minecraft:spruce_boat, Bote de pinheiro
minecraft:birch_boat, Bote de eucalipto
minecraft:jungle_boat, Bote de madeira da selva
minecraft:acacia_boat, Bote de acácia
minecraft:dark_oak_boat, Bote de carvalho escuro
minecraft:totem_of_undying, Totem da imortalidade
minecraft:shulker_shell, Casco de shulker
minecraft:iron_nugget, Pepita de ferro
minecraft:knowledge_book, Livro do conhecimento
minecraft:record_13, Disco de música
minecraft:record_cat, Disco de música
minecraft:record_blocks, Disco de música
minecraft:record_chirp, Disco de música
minecraft:record_far, Disco de música
minecraft:record_mall, Disco de música
minecraft:record_mellohi, Disco de música
minecraft:record_stal, Disco de música
minecraft:record_strad, Disco de música
minecraft:record_ward, Disco de música
minecraft:record_11, Disco de música
minecraft:record_wait, Disco de música
ae2stuff:encoder, Codificador de Padrões
ae2stuff:grower, Câmara de Crescimento de Cristais
ae2stuff:inscriber, Inscritor Avançado
ae2stuff:wireless, Wireless Connector
ae2stuff:wireless_kit, Wireless Setup Kit
ae2stuff:visualiser, Network Visualisation Tool
props:props:0, Creeper de Pel�cia
props:props:1, Garrafa de Vinho
props:props:2, Rel�gio de P�ndulo
props:props:3, Blocos de Madeira
props:props:4, Roda de Fiar
props:props:5, Caixa Surpresa
props:props:6, Avi�o de Papel
props:props:7, Barras de Ouro
props:props:8, Cavalo de Pau
props:props:9, Soldado de Brinquedo
props:props:10, R2 D2
props:props:11, Cubo M�gico
props:props:12, Barco de Brinquedo
props:props:13, Prato
props:props:14, Piano
props:props:15, Vitral Laranja
props:props:16, Vitral Magenta
props:props:17, Vitral Azul-Claro
props:props:18, Vitral Amarelo
props:props:19, Vitral Lima
props:props:20, Vitral Rosa
props:props:21, Vitral Ciano
props:props:22, Vitral Roxo
props:props:23, Vitral Azul
props:props:24, Vitral Verde
props:props:25, Vitral Vermelho
props:props:26, Vitral Branco
props:props:27, Jogo de Ch�
props:props:28, X�cara de Ch�
props:props:29, Caixote
props:props:30, Cesta de Piquenique
props:props:31, Rel�gio Cuco
props:props:32, Trio Ab�bora
props:props:33, Ber�o
props:props:34, Xilofone
props:props:35, Trem de Brinquedo
props:props:36, DiscordiaMLP
props:props:37, Espantalho
props:props:38, Wine Rack Light
props:props:39, Wine Rack Medium
props:props:40, Papel Picado Laranja
props:props:41, Papel Picado Preto
props:props:42, Papel Picado Azul
props:props:43, Papel Picado Ciano
props:props:44, Papel Picado Verde
props:props:45, Papel Picado Azul-Claro
